# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_1_ppc_model
# start_datetime = 2022-06-21 17:24:47 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 0
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = fixed_param
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file =  (Default)
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_1_ppc-20220621192447.csv
#   diagnostic_file =  (Default)
#   refresh = 1000
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,mu,sigma,calories
0,0,104.365,24.9247,106.452
0,0,110.455,23.0742,105.356
0,0,107.749,12.4593,94.7804
0,0,132.995,2.72825,131.547
0,0,109.08,6.89899,107.953
0,0,106.389,4.94819,110.808
0,0,117.362,41.7607,122.921
0,0,143.376,12.0981,154.577
0,0,108.8,3.17842,109.171
0,0,105.344,2.7922,103.065
0,0,116.936,23.4862,135.616
0,0,116.44,1.25879,115.279
0,0,107.88,12.648,120.887
0,0,104.375,20.3589,77.4096
0,0,96.8161,60.3747,60.9237
0,0,106.787,8.832,112.425
0,0,108.164,23.7044,123.56
0,0,106.869,3.513,109.755
0,0,107.023,7.22137,112.95
0,0,107.679,25.8231,85.4771
0,0,90.9205,2.40683,88.7754
0,0,90.2164,1.97434,91.6945
0,0,126.678,12.9326,134.517
0,0,129.923,15.5033,151.01
0,0,136.624,4.2137,133.483
0,0,138.712,19.4518,161.174
0,0,113.702,47.8948,85.1645
0,0,97.3799,2.37945,95.2677
0,0,126.831,34.5113,160.723
0,0,98.6944,13.1665,104.015
0,0,131.964,0.784395,133.261
0,0,129.067,17.646,131.469
0,0,92.9177,1.33895,94.487
0,0,120.165,21.7712,124.355
0,0,134.743,48.8421,153.057
0,0,125.748,1.90429,126.827
0,0,99.3526,20.584,92.7598
0,0,113.501,1.56222,111.07
0,0,97.1529,5.59725,93.0494
0,0,119.373,10.1245,114.408
0,0,116.934,2.26444,118.143
0,0,155.624,25.8534,209.7
0,0,103.162,3.00262,103.438
0,0,119.994,2.57928,118.384
0,0,124.205,3.95359,123.911
0,0,82.6666,40.0239,68.6176
0,0,132.802,0.782561,132.64
0,0,111.847,4.09447,112.219
0,0,126.411,17.4535,134.239
0,0,125.4,15.5023,155.199
0,0,100.086,5.32661,101.046
0,0,133.03,14.6864,119.718
0,0,91.4065,2.04777,94.9924
0,0,113.008,13.0601,130.625
0,0,113.575,11.2697,132.687
0,0,130.246,4.15174,126.035
0,0,130.967,2.38233,134.318
0,0,127.03,2.42162,120.126
0,0,97.7609,3.74911,99.0569
0,0,80.1459,7.44625,85.0195
0,0,85.8147,23.9684,58.8457
0,0,115.947,36.5836,166.956
0,0,117.208,8.84854,119.532
0,0,106.121,5.65732,105.487
0,0,103.844,2.99089,104.732
0,0,105.443,6.87777,111.122
0,0,98.9197,9.33034,92.9498
0,0,110.437,43.6511,54.5155
0,0,103.529,74.3669,70.4337
0,0,99.2017,26.338,119.094
0,0,112.816,1.71595,114.742
0,0,123.85,13.2037,138.734
0,0,93.6062,4.0497,99.4671
0,0,133.032,14.3357,114.122
0,0,132.33,2.7417,130.474
0,0,111.56,35.7518,99.2884
0,0,128.705,10.9058,123.313
0,0,129.928,25.8663,141.773
0,0,128.63,3.99806,129.889
0,0,111.764,1.02513,111.088
0,0,101.49,0.249747,101.969
0,0,91.8476,29.644,75.1667
0,0,89.4573,2.16488,92.9484
0,0,129.692,5.98794,131.944
0,0,125.816,0.537095,126.786
0,0,114.22,1.51987,115.016
0,0,109,13.5608,106.241
0,0,98.0786,1.25763,98.3667
0,0,136.943,37.3781,71.8791
0,0,135.565,3.96532,132.084
0,0,126.523,35.1381,100.901
0,0,113.634,8.97732,107.623
0,0,110.761,1.26497,110.459
0,0,118.923,5.26991,114.972
0,0,170.316,7.67526,170.992
0,0,100.529,0.351696,100.42
0,0,130.084,61.5693,115.998
0,0,119.246,0.89555,118.453
0,0,110.605,1.9246,112.004
0,0,109.317,8.59499,105.808
0,0,135.326,2.74266,132.762
0,0,104.987,11.5651,101.661
0,0,109.69,20.5301,93.3194
0,0,104.635,6.85386,106.091
0,0,102.56,26.6747,128.127
0,0,123.164,6.52888,120.026
0,0,125.111,4.28019,131.022
0,0,94.4628,13.3819,97.2088
0,0,118.937,33.6699,189.148
0,0,116.599,3.0854,115.561
0,0,110.862,41.9152,140.068
0,0,124.64,53.294,174.113
0,0,125.75,18.7107,167.381
0,0,122.788,7.66266,127.565
0,0,121.542,10.7545,114.367
0,0,134.063,1.91626,135.629
0,0,118.438,9.39713,127.519
0,0,138.407,10.9446,123.633
0,0,91.896,22.9733,109.407
0,0,80.4144,1.88863,78.7948
0,0,104.199,7.571,106.597
0,0,120.159,13.7774,92.2141
0,0,101.086,16.1758,78.6913
0,0,106.09,24.5661,88.1818
0,0,123.036,8.3648,125.357
0,0,105.012,4.97787,103.491
0,0,104.028,10.3756,106.616
0,0,102.044,0.694327,103.173
0,0,150.487,7.10205,161.102
0,0,129.157,6.90982,122.509
0,0,136.075,3.51532,138.082
0,0,99.6837,10.8184,105.745
0,0,76.323,43.4445,125.501
0,0,122.062,2.14042,119.991
0,0,110.656,25.6253,100.626
0,0,132.555,7.24995,133.804
0,0,123.233,29.1692,126.95
0,0,126.354,4.35896,126.27
0,0,100.365,15.5372,139.747
0,0,93.7742,1.35201,94.727
0,0,89.7161,5.62336,89.53
0,0,147.678,16.7989,128.494
0,0,159.379,3.29396,161.093
0,0,88.1993,15.7043,75.2167
0,0,125.009,0.43891,124.83
0,0,87.2845,0.591998,87.5613
0,0,143.874,9.01104,144.199
0,0,126.948,4.07915,131.729
0,0,109.296,9.75636,105.717
0,0,72.4636,17.7917,81.975
0,0,105.973,4.86925,102.576
0,0,97.1865,33.492,48.0265
0,0,107.227,10.986,89.1642
0,0,136.886,21.1213,126.756
0,0,95.1534,3.27921,99.4975
0,0,117.026,48.6357,88.1549
0,0,121.698,11.9237,111.711
0,0,126.989,3.48829,128.009
0,0,119.545,61.1377,169.889
0,0,131.378,25.6774,148.911
0,0,127.723,3.74064,124.898
0,0,110.662,11.0736,124.74
0,0,93.5637,1.70594,97.1726
0,0,134.27,0.543127,133.861
0,0,114.622,19.6852,100.052
0,0,95.8687,12.8353,121.174
0,0,124.452,2.79387,122.988
0,0,112.624,9.04924,127.032
0,0,125.297,17.5598,113.335
0,0,108.325,40.6415,80.2447
0,0,135.245,9.87464,144.067
0,0,130.215,1.41031,131.389
0,0,115.655,15.935,111.034
0,0,107.584,2.85863,107.335
0,0,96.2629,11.5571,105.299
0,0,116.487,13.8884,119.495
0,0,124.982,2.04876,127.154
0,0,124.318,61.6467,68.9231
0,0,92.8875,12.8135,86.1749
0,0,113.933,4.97488,119.068
0,0,117.421,10.481,130.838
0,0,120.993,25.4374,88.7613
0,0,103.47,56.4194,-29.6686
0,0,123.144,10.7898,127.789
0,0,130.525,2.612,134.141
0,0,146.45,12.9008,135.162
0,0,122.666,21.0703,113.88
0,0,122.255,11.0335,111.041
