# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_1_ppc_model
# start_datetime = 2022-06-21 18:35:43 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 0
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = fixed_param
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file =  (Default)
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_1_ppc-20220621203543.csv
#   diagnostic_file =  (Default)
#   refresh = 1000
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,mu,sigma,calories
0,0,94.3652,24.9247,96.4517
0,0,100.455,23.0742,95.3563
0,0,97.7487,12.4593,84.7804
0,0,122.995,2.72825,121.547
0,0,99.08,6.89899,97.9534
0,0,96.389,4.94819,100.808
0,0,107.362,41.7607,112.921
0,0,133.376,12.0981,144.577
0,0,98.7996,3.17842,99.1711
0,0,95.3441,2.7922,93.0651
0,0,106.936,23.4862,125.616
0,0,106.44,1.25879,105.279
0,0,97.8802,12.648,110.887
0,0,94.3747,20.3589,67.4096
0,0,86.8161,60.3747,50.9237
0,0,96.7868,8.832,102.425
0,0,98.1641,23.7044,113.56
0,0,96.8692,3.513,99.7554
0,0,97.023,7.22137,102.95
0,0,97.6791,25.8231,75.4771
0,0,80.9205,2.40683,78.7754
0,0,80.2164,1.97434,81.6945
0,0,116.678,12.9326,124.517
0,0,119.923,15.5033,141.01
0,0,126.624,4.2137,123.483
0,0,128.712,19.4518,151.174
0,0,103.702,47.8948,75.1645
0,0,87.3799,2.37945,85.2677
0,0,116.831,34.5113,150.723
0,0,88.6944,13.1665,94.0151
0,0,121.964,0.784395,123.261
0,0,119.067,17.646,121.469
0,0,82.9177,1.33895,84.487
0,0,110.165,21.7712,114.355
0,0,124.743,48.8421,143.057
0,0,115.748,1.90429,116.827
0,0,89.3526,20.584,82.7598
0,0,103.501,1.56222,101.07
0,0,87.1529,5.59725,83.0494
0,0,109.373,10.1245,104.408
0,0,106.934,2.26444,108.143
0,0,145.624,25.8534,199.7
0,0,93.1617,3.00262,93.4378
0,0,109.994,2.57928,108.384
0,0,114.205,3.95359,113.911
0,0,72.6666,40.0239,58.6176
0,0,122.802,0.782561,122.64
0,0,101.847,4.09447,102.219
0,0,116.411,17.4535,124.239
0,0,115.4,15.5023,145.199
0,0,90.0862,5.32661,91.0464
0,0,123.03,14.6864,109.718
0,0,81.4065,2.04777,84.9924
0,0,103.008,13.0601,120.625
0,0,103.575,11.2697,122.687
0,0,120.246,4.15174,116.035
0,0,120.967,2.38233,124.318
0,0,117.03,2.42162,110.126
0,0,87.7609,3.74911,89.0569
0,0,70.1459,7.44625,75.0195
0,0,75.8147,23.9684,48.8457
0,0,105.947,36.5836,156.956
0,0,107.208,8.84854,109.532
0,0,96.1214,5.65732,95.4867
0,0,93.844,2.99089,94.7318
0,0,95.4432,6.87777,101.122
0,0,88.9197,9.33034,82.9498
0,0,100.437,43.6511,44.5155
0,0,93.5292,74.3669,60.4337
0,0,89.2017,26.338,109.094
0,0,102.816,1.71595,104.742
0,0,113.85,13.2037,128.734
0,0,83.6062,4.0497,89.4671
0,0,123.032,14.3357,104.122
0,0,122.33,2.7417,120.474
0,0,101.56,35.7518,89.2884
0,0,118.705,10.9058,113.313
0,0,119.928,25.8663,131.773
0,0,118.63,3.99806,119.889
0,0,101.764,1.02513,101.088
0,0,91.4896,0.249747,91.9685
0,0,81.8476,29.644,65.1667
0,0,79.4573,2.16488,82.9484
0,0,119.692,5.98794,121.944
0,0,115.816,0.537095,116.786
0,0,104.22,1.51987,105.016
0,0,98.9997,13.5608,96.2412
0,0,88.0786,1.25763,88.3667
0,0,126.943,37.3781,61.8791
0,0,125.565,3.96532,122.084
0,0,116.523,35.1381,90.9014
0,0,103.634,8.97732,97.6234
0,0,100.761,1.26497,100.459
0,0,108.923,5.26991,104.972
0,0,160.316,7.67526,160.992
0,0,90.5291,0.351696,90.4204
0,0,120.084,61.5693,105.998
0,0,109.246,0.89555,108.453
0,0,100.605,1.9246,102.004
0,0,99.3166,8.59499,95.8083
0,0,125.326,2.74266,122.762
0,0,94.9869,11.5651,91.6605
0,0,99.6899,20.5301,83.3194
0,0,94.6351,6.85386,96.091
0,0,92.5604,26.6747,118.127
0,0,113.164,6.52888,110.026
0,0,115.111,4.28019,121.022
0,0,84.4628,13.3819,87.2088
0,0,108.937,33.6699,179.148
0,0,106.599,3.0854,105.561
0,0,100.862,41.9152,130.068
0,0,114.64,53.294,164.113
0,0,115.75,18.7107,157.381
0,0,112.788,7.66266,117.565
0,0,111.542,10.7545,104.367
0,0,124.063,1.91626,125.629
0,0,108.438,9.39713,117.519
0,0,128.407,10.9446,113.633
0,0,81.896,22.9733,99.4072
0,0,70.4144,1.88863,68.7948
0,0,94.1994,7.571,96.5968
0,0,110.159,13.7774,82.2141
0,0,91.0862,16.1758,68.6913
0,0,96.0899,24.5661,78.1818
0,0,113.036,8.3648,115.357
0,0,95.012,4.97787,93.4906
0,0,94.0278,10.3756,96.616
0,0,92.0445,0.694327,93.173
0,0,140.487,7.10205,151.102
0,0,119.157,6.90982,112.509
0,0,126.075,3.51532,128.082
0,0,89.6837,10.8184,95.745
0,0,66.323,43.4445,115.501
0,0,112.062,2.14042,109.991
0,0,100.656,25.6253,90.6263
0,0,122.555,7.24995,123.804
0,0,113.233,29.1692,116.95
0,0,116.354,4.35896,116.27
0,0,90.3653,15.5372,129.747
0,0,83.7742,1.35201,84.727
0,0,79.7161,5.62336,79.53
0,0,137.678,16.7989,118.494
0,0,149.379,3.29396,151.093
0,0,78.1993,15.7043,65.2167
0,0,115.009,0.43891,114.83
0,0,77.2845,0.591998,77.5613
0,0,133.874,9.01104,134.199
0,0,116.948,4.07915,121.729
0,0,99.2957,9.75636,95.7166
0,0,62.4636,17.7917,71.975
0,0,95.9728,4.86925,92.5757
0,0,87.1865,33.492,38.0265
0,0,97.227,10.986,79.1642
0,0,126.886,21.1213,116.756
0,0,85.1534,3.27921,89.4975
0,0,107.026,48.6357,78.1549
0,0,111.698,11.9237,101.711
0,0,116.989,3.48829,118.009
0,0,109.545,61.1377,159.889
0,0,121.378,25.6774,138.911
0,0,117.723,3.74064,114.898
0,0,100.662,11.0736,114.74
0,0,83.5637,1.70594,87.1726
0,0,124.27,0.543127,123.861
0,0,104.622,19.6852,90.052
0,0,85.8687,12.8353,111.174
0,0,114.452,2.79387,112.988
0,0,102.624,9.04924,117.032
0,0,115.297,17.5598,103.335
0,0,98.3251,40.6415,70.2447
0,0,125.245,9.87464,134.067
0,0,120.215,1.41031,121.389
0,0,105.655,15.935,101.034
0,0,97.5837,2.85863,97.3352
0,0,86.2629,11.5571,95.2987
0,0,106.487,13.8884,109.495
0,0,114.982,2.04876,117.154
0,0,114.318,61.6467,58.9231
0,0,82.8875,12.8135,76.1749
0,0,103.933,4.97488,109.068
0,0,107.421,10.481,120.838
0,0,110.993,25.4374,78.7613
0,0,93.4696,56.4194,-39.6686
0,0,113.144,10.7898,117.789
0,0,120.525,2.612,124.141
