# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_1_ppc_model
# start_datetime = 2022-06-19 21:15:45 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 0
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = fixed_param
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file =  (Default)
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_1_ppc-20220619231545.csv
#   diagnostic_file =  (Default)
#   refresh = 1000
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,mu,sigma,calories
0,0,94.0742,23.5205,96.0431
0,0,99.7581,21.7742,94.9465
0,0,97.2321,11.7574,84.9945
0,0,120.796,2.57455,119.429
0,0,98.4747,6.51032,97.4116
0,0,95.9631,4.66941,100.133
0,0,106.205,39.408,111.45
0,0,130.484,11.4165,141.055
0,0,98.2129,2.99936,98.5636
0,0,94.9879,2.63489,92.8372
0,0,105.807,22.1631,123.434
0,0,105.344,1.18788,104.248
0,0,97.3548,11.9355,109.629
0,0,94.0831,19.2119,68.6372
0,0,87.0284,56.9734,53.1581
0,0,96.3343,8.33442,101.655
0,0,97.6198,22.3689,112.148
0,0,96.4113,3.31509,99.1349
0,0,96.5548,6.81453,102.148
0,0,97.1671,24.3683,76.2159
0,0,81.5258,2.27124,79.5016
0,0,80.8686,1.86311,82.2634
0,0,114.899,12.204,122.297
0,0,117.928,14.6298,137.827
0,0,124.183,3.97631,121.218
0,0,126.131,18.3559,147.327
0,0,102.789,45.1965,75.8587
0,0,87.5545,2.2454,85.5614
0,0,115.042,32.567,147.025
0,0,88.7814,12.4247,93.8024
0,0,119.833,0.740204,121.057
0,0,117.129,16.6519,119.396
0,0,83.3899,1.26352,84.8707
0,0,108.821,20.5446,112.775
0,0,122.426,46.0905,139.709
0,0,114.031,1.797,115.05
0,0,89.3958,19.4243,83.1744
0,0,102.601,1.47421,100.307
0,0,87.3427,5.28191,83.4704
0,0,108.081,9.55411,103.396
0,0,105.805,2.13686,106.946
0,0,141.916,24.3968,192.946
0,0,92.951,2.83346,93.2115
0,0,108.661,2.43397,107.142
0,0,112.592,3.73085,112.314
0,0,73.8221,37.7691,60.5646
0,0,120.615,0.738473,120.462
