# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_1_ppc_model
# start_datetime = 2022-06-21 17:31:09 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 0
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = fixed_param
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file =  (Default)
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_1_ppc-20220621193109.csv
#   diagnostic_file =  (Default)
#   refresh = 1000
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,mu,sigma,calories
0,0,99.3652,24.9247,101.452
0,0,105.455,23.0742,100.356
0,0,102.749,12.4593,89.7804
0,0,127.995,2.72825,126.547
0,0,104.08,6.89899,102.953
0,0,101.389,4.94819,105.808
0,0,112.362,41.7607,117.921
0,0,138.376,12.0981,149.577
0,0,103.8,3.17842,104.171
0,0,100.344,2.7922,98.0651
0,0,111.936,23.4862,130.616
0,0,111.44,1.25879,110.279
0,0,102.88,12.648,115.887
0,0,99.3747,20.3589,72.4096
0,0,91.8161,60.3747,55.9237
0,0,101.787,8.832,107.425
0,0,103.164,23.7044,118.56
0,0,101.869,3.513,104.755
0,0,102.023,7.22137,107.95
0,0,102.679,25.8231,80.4771
0,0,85.9205,2.40683,83.7754
0,0,85.2164,1.97434,86.6945
0,0,121.678,12.9326,129.517
0,0,124.923,15.5033,146.01
0,0,131.624,4.2137,128.483
0,0,133.712,19.4518,156.174
0,0,108.702,47.8948,80.1645
0,0,92.3799,2.37945,90.2677
0,0,121.831,34.5113,155.723
0,0,93.6944,13.1665,99.0151
0,0,126.964,0.784395,128.261
0,0,124.067,17.646,126.469
0,0,87.9177,1.33895,89.487
0,0,115.165,21.7712,119.355
0,0,129.743,48.8421,148.057
0,0,120.748,1.90429,121.827
0,0,94.3526,20.584,87.7598
0,0,108.501,1.56222,106.07
0,0,92.1529,5.59725,88.0494
0,0,114.373,10.1245,109.408
0,0,111.934,2.26444,113.143
0,0,150.624,25.8534,204.7
0,0,98.1617,3.00262,98.4378
0,0,114.994,2.57928,113.384
0,0,119.205,3.95359,118.911
0,0,77.6666,40.0239,63.6176
0,0,127.802,0.782561,127.64
0,0,106.847,4.09447,107.219
0,0,121.411,17.4535,129.239
0,0,120.4,15.5023,150.199
0,0,95.0862,5.32661,96.0464
0,0,128.03,14.6864,114.718
0,0,86.4065,2.04777,89.9924
0,0,108.008,13.0601,125.625
