# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = cereal_1_ppc_model
# start_datetime = 2022-06-13 18:44:07 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 0
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = fixed_param
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file =  (Default)
# init = 2 (Default)
# random
#   seed = 12062022
# output
#   file = C:\GitHub\DataAnalyticsProject\Project\samples\cereal_1_ppc-20220613204407.csv
#   diagnostic_file =  (Default)
#   refresh = 1000
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,mu,sigma,calories
0,0,92.8203,33.3991,95.6162
0,0,100.94,30.9194,94.1077
0,0,97.3316,16.6955,79.9541
0,0,130.994,3.65585,129.053
0,0,99.1067,9.24465,97.597
0,0,95.5187,6.63057,101.44
0,0,110.15,55.9594,117.598
0,0,144.834,16.2114,159.845
0,0,98.7328,4.25908,99.2307
0,0,94.1255,3.74154,91.0716
0,0,109.581,31.4716,134.612
0,0,108.92,1.68678,107.364
0,0,97.5069,16.9484,114.937
0,0,92.833,27.2809,56.6998
0,0,82.7548,80.9022,34.659
0,0,96.049,11.8349,103.604
0,0,97.8855,31.7639,118.516
0,0,96.1589,4.70742,100.026
0,0,96.3639,9.67663,104.306
0,0,97.2388,34.6029,67.4881
0,0,74.8939,3.22516,72.0196
0,0,73.9551,2.64561,75.9358
0,0,122.57,17.3297,133.075
0,0,126.897,20.7744,155.154
0,0,135.832,5.64636,131.623
0,0,138.616,26.0654,168.715
0,0,105.27,64.179,67.029
0,0,83.5065,3.18846,80.6762
0,0,122.775,46.2452,168.191
0,0,85.2591,17.6431,92.389
0,0,129.619,1.05109,131.357
0,0,125.756,23.6456,128.975
0,0,77.557,1.7942,79.6598
0,0,113.887,29.1734,119.502
0,0,133.323,65.4485,157.865
0,0,121.331,2.55174,122.777
0,0,86.1368,27.5825,77.3025
0,0,105.002,2.09338,101.743
0,0,83.2038,7.50031,77.7052
0,0,112.83,13.5668,106.178
0,0,109.579,3.03434,111.198
0,0,161.166,34.6435,233.628
0,0,91.2156,4.02351,91.5856
0,0,113.659,3.45623,111.502
0,0,119.274,5.29781,118.88
0,0,63.8888,53.6321,45.0631
0,0,130.736,1.04863,130.519
0,0,102.797,5.48659,103.295
0,0,122.215,23.3877,132.705
0,0,120.867,20.7731,160.798
0,0,87.115,7.13766,88.4015
0,0,131.04,19.6797,113.202
0,0,75.542,2.74401,80.3471
0,0,104.344,17.5005,127.95
0,0,105.1,15.1014,130.71
0,0,127.329,5.56333,121.685
0,0,128.289,3.19232,132.78
0,0,123.04,3.24498,113.789
0,0,84.0145,5.02381,85.7512
0,0,60.5279,9.97798,67.0585
0,0,68.0863,32.1177,31.9477
0,0,108.263,49.0221,176.615
0,0,109.944,11.857,113.059
0,0,95.1619,7.58081,94.3114
0,0,92.1253,4.00779,93.3149
0,0,94.2576,9.21621,101.867
0,0,85.5596,12.5027,77.5599
0,0,100.915,58.4925,25.9812
0,0,91.7056,99.6516,47.3576
